Execution time of function: 0:34:54.663388
         3831791657 function calls (3407604323 primitive calls) in 1346.216 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1728080    0.300    0.000    0.496    0.000 common.py:1179(<lambda>)
  3602720    2.767    0.000    7.765    0.000 common.py:1183(is_bool_dtype)
        2    0.000    0.000    0.000    0.000 common.py:1194(is_potential_multi_index)
  3775982    0.524    0.000    0.524    0.000 common.py:121(classes)
        1    0.000    0.000    0.000    0.000 common.py:121(close)
        4    0.000    0.000    0.000    0.000 common.py:1219(<genexpr>)
        1    0.000    0.000    0.000    0.000 common.py:1223(dedup_names)
  3775982    0.690    0.000    1.035    0.000 common.py:123(<lambda>)
   115516    0.020    0.000    0.030    0.000 common.py:1255(is_1d_only_ea_dtype)
  1932396    0.302    0.000    0.302    0.000 common.py:126(_classes_and_not_datetimelike)
  1932396    0.400    0.000    0.588    0.000 common.py:131(<lambda>)
  5708390    1.806    0.000    3.189    0.000 common.py:1322(is_ea_or_datetimelike_dtype)
  4524516    1.931    0.000    5.212    0.000 common.py:1366(_is_dtype)
  2047902    0.993    0.000    2.789    0.000 common.py:137(is_object_dtype)
  8127236    1.577    0.000    2.582    0.000 common.py:1390(_get_dtype)
  5708378    2.412    0.000    4.809    0.000 common.py:1425(_is_dtype_type)
        1    0.000    0.000    0.000    0.000 common.py:145(is_url)
 11714476    2.458    0.000    3.890    0.000 common.py:149(cast_scalar_indexer)
  1095051    0.477    0.000    1.670    0.000 common.py:1562(validate_all_hashable)
  2190102    0.408    0.000    0.735    0.000 common.py:1581(<genexpr>)
  2707626    5.377    0.000   14.319    0.000 common.py:1587(pandas_dtype)
    28876    0.009    0.000    0.009    0.000 common.py:171(not_none)
        3    0.000    0.000    0.000    0.000 common.py:173(_expand_user)
    86628    0.011    0.000    0.011    0.000 common.py:175(<genexpr>)
        1    0.000    0.000    0.000    0.000 common.py:185(all_none)
        2    0.000    0.000    0.000    0.000 common.py:189(<genexpr>)
        1    0.000    0.000    0.000    0.000 common.py:192(validate_header_arg)
  3762636    7.841    0.000   21.427    0.000 common.py:228(asarray_tuplesafe)
        2    0.000    0.000    0.000    0.000 common.py:233(stringify_path)
   966196    0.738    0.000    6.049    0.000 common.py:261(index_labels_to_array)
        1    0.000    0.000    0.000    0.000 common.py:277(is_fsspec_url)
        1    0.000    0.000    0.000    0.000 common.py:289(_get_filepath_or_buffer)
   864041    0.349    0.000    0.935    0.000 common.py:296(maybe_iterable_to_list)
 16972053    3.288    0.000    4.674    0.000 common.py:367(apply_if_callable)
        1    0.000    0.000    0.000    0.000 common.py:503(get_compression_method)
   864041    0.222    0.000    0.222    0.000 common.py:514(is_string_or_object_np_dtype)
   864040    0.364    0.000    1.970    0.000 common.py:521(is_string_dtype)
        1    0.000    0.000    0.000    0.000 common.py:538(infer_compression)
    86638    0.023    0.000    0.072    0.000 common.py:556(require_length_match)
   864040    0.722    0.000    0.945    0.000 common.py:557(condition)
    57752    0.040    0.000    3.844    0.000 common.py:62(new_method)
        1    0.000    0.000    0.000    0.000 common.py:652(get_handle)
    57752    0.026    0.000    0.109    0.000 common.py:81(get_op_result_name)
        2    0.000    0.000    0.000    0.000 common.py:91(ensure_python_int)
  7263246    3.598    0.000   20.022    0.000 common.py:96(is_bool_indexer)
    86628    0.023    0.000    0.120    0.000 concat.py:140(<genexpr>)
    86628    0.013    0.000    0.037    0.000 concat.py:145(<genexpr>)
    28876    0.064    0.000    4.502    0.000 concat.py:157(concat)
    57752    0.064    0.000    0.097    0.000 concat.py:236(_is_homogeneous_mgr)
    28876    0.109    0.000    0.226    0.000 concat.py:249(_concat_homogeneous_fastpath)
    86628    0.010    0.000    0.010    0.000 concat.py:259(<genexpr>)
    28876    0.094    0.000    0.534    0.000 concat.py:403(__init__)
    28876    0.040    0.000    0.142    0.000 concat.py:478(_get_ndims)
